geneSymbol,No Dox,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7
AC021660.1,0,0,0,0,0,0,0,0
MIR3176,0,0,0,0,0,0,0,0
NARF-IT1,0.522046,0.722421,0.652451667,0.837833667,0.761050333,1.022663667,1.140403333,0.837822
RP11-25D3.1,0.009165667,0,0,0,0,0,0,0
MIR3605,0,0,0,0,0,0,0,0
MIR5091,0,0,0,0,0,0,0,0
MIR5047,0,0,0,0,0,0,0,0
CTD-2594A10.4,0.394717,0.338710333,0.202743333,0.231860667,0.199684333,0.149873,0.1409142,0.255455
MIR4279,0,0,0,0,0,0,0,0
AC079340.1,0,0,0,0,0,0,0,0
MIR4644,0,0,0,0,0,0,0,0
AC116655.1,0,0,0,0,0,0,0,0
AC008752.3,0,0,0,0,0,0,0,0
CTC-525D6.2,0,0,0,0,0,0,0,0
COX6CP3,0,0.159686333,0,0,0,0,0,0
AL031768.1,0,0,0,0,0,0,0,0
AC093874.1,0,0,0,0,0,0,0,0
