ENSEMBL_id	KD0d_A	KD0d_B	KD0d_C	KD1d_A	KD1d_B	KD1d_C	KD3d_A	KD3d_B	KD3d_C	WT0d_A	WT0d_B	WT0d_C	WT1d_A	WT1d_B	WT1d_C	WT3d_A	WT3d_B	WT3d_C
ENSG00000107223.12	2156	1797	1696	1386	1568	1987	2684	3075	2491	2289	2354	2427	2638	3126	2985	2248	2026	1930
ENSG00000107242.17	3	4	6	0	1	3	1	0	0	1	0	2	0	1	0	0	0	0
ENSG00000107249.21	6	8	12	17	21	33	24	25	23	1	10	2	25	30	28	23	23	20
ENSG00000107262.17	1725	1438	1375	226	308	417	596	705	538	636	705	794	689	729	697	425	342	350
ENSG00000107263.18	1594	1395	1264	572	743	827	350	361	272	669	790	775	1739	2045	1944	1012	844	869
ENSG00000107281.9	258	284	203	72	82	110	10	24	23	190	207	229	176	149	166	49	30	59
ENSG00000107282.7	26	19	21	7	8	6	10	13	10	7	9	9	9	13	15	30	18	22
ENSG00000107290.13	5333	3817	3799	545	516	790	2739	2449	1943	350	423	428	4148	4833	4417	2272	2078	1908
ENSG00000107295.9	0	0	0	0	2	0	0	0	1	0	0	1	0	2	0	1	0	1
ENSG00000107317.11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000107331.16	360	369	323	117	174	185	47	67	53	251	317	235	119	142	152	202	199	237
ENSG00000107338.9	1134	959	806	284	324	382	160	166	134	377	441	406	518	655	607	317	321	334
ENSG00000107341.4	1511	1084	1064	392	414	551	480	501	363	482	556	474	1080	1309	1184	891	842	793
ENSG00000107362.13	268	229	210	36	41	43	103	106	66	73	71	100	156	214	181	133	107	110
ENSG00000107371.12	409	283	264	59	59	58	175	198	153	86	114	136	265	316	248	227	182	178
ENSG00000107372.12	2934	2332	2179	313	373	576	1124	1133	853	244	341	351	1622	1953	1741	1172	966	1035
ENSG00000107404.17	947	983	811	1065	1534	1446	525	994	802	912	1033	1105	2173	2432	2416	1474	1184	1276
ENSG00000107438.8	1385	1065	1033	564	546	798	628	627	478	959	1115	912	974	1057	1056	732	763	737
ENSG00000107443.15	121	63	89	15	13	18	56	33	35	16	22	27	104	136	111	60	79	52
ENSG00000107447.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000107485.15	3	1	2	0	0	3	0	1	0	0	2	1	5	2	2	0	3	3
ENSG00000107518.16	3	0	0	0	0	2	1	1	2	0	0	0	0	1	0	1	0	0
ENSG00000107521.18	446	417	357	262	293	356	243	235	175	484	523	486	642	704	675	634	548	565
ENSG00000107537.13	593	465	430	158	166	258	370	344	268	166	239	254	305	351	383	156	154	165
ENSG00000107551.20	10	11	10	4	2	0	13	12	15	2	3	5	4	5	5	3	11	10
ENSG00000107554.15	746	504	492	153	164	199	259	261	206	181	208	173	531	632	564	450	428	385
ENSG00000107560.10	561	305	391	40	49	67	194	174	150	45	58	66	259	320	278	254	207	191
ENSG00000107562.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000107566.13	927	728	725	122	169	258	328	342	306	312	353	333	580	683	512	370	262	286
ENSG00000107581.12	8044	5461	5426	552	664	920	2333	2090	1623	1211	1593	1391	4921	5702	4817	2263	1914	1830
ENSG00000107593.16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
ENSG00000107611.14	27	5	8	3	4	2	18	7	7	1	9	5	15	12	7	27	30	29
ENSG00000107614.21	42	28	31	8	13	4	33	27	23	3	11	7	23	38	48	38	27	29
ENSG00000107625.12	947	659	650	196	226	296	870	791	599	135	167	197	603	690	607	364	369	297
ENSG00000107643.15	749	544	506	99	110	166	417	442	314	100	99	130	493	595	497	323	279	266
ENSG00000107651.12	921	640	659	106	132	191	369	320	280	184	218	222	591	683	682	348	315	306
ENSG00000107669.17	966	640	671	117	135	202	461	449	338	149	166	137	369	474	375	222	176	189
